r3Ptstat,3PtStat,collegeServicableShooter,age,height,Oposs,avgPosition,avgRole,PlusMinus,usg,efg,ts,dunks,dunkAtts,close2,close2Atts,close2Pct,far2,far2Atts,far2Pct,ft,ftAtts,ftPct,2p,2pAtt,2pPct,3pr,3p,3Pp100,3pAtts,3PAp100,3pPct,N1Sage,N1Susg,N1Sefg,N1Sts,N1Sdunks,N1SdunkAtts,N1Sclose2,N1Sclose2Atts,N1Sclose2Pct,N1Sfar2,N1Sfar2Atts,N1Sfar2Pct,N1Sft,N1SftAtts,N1SftPct,N1S2p,N1S2pAtt,N1S2pPct,N1S3pr,N1S3p,N1S3pAtts,N1S3pPct,N2Sage,N2Susg,N2Sefg,N2Sts,N2Sdunks,N2SdunkAtts,N2Sclose2,N2Sclose2Atts,N2Sclose2Pct,N2Sfar2,N2Sfar2Atts,N2Sfar2Pct,N2Sft,N2SftAtts,N2SftPct,N2S2p,N2S2pAtt,N2S2pPct,N2S3pr,N2S3p,N2S3pAtts,N2S3pPct,OBPR,BPR,Box OBPR,Box BPR,AdjTeamOffEff,AdjTeamEffmargin
0.957543524,0.670966526,FALSE,20,81,1428,4.4,2.9,198,24.1,53.4,55.8,23,25,88,121,0.727,44,108,0.407,60,84,0.714,132,230,0.574,26.3,23,1.610644258,82,5.742296919,0.28,19,19.8,49.6,55.2,16,18,75,121,0.62,17,64,0.266,79,97,0.814,92,185,0.497,25.7,21,64,0.328,19,19.8,49.6,55.2,16,18,75,121,0.62,17,64,0.266,79,97,0.814,92,185,0.497,25.7,21,64,0.328,4,6.08,3.37,4.2,112.5,13.5
0.643508508,0.670878305,FALSE,21,77,2000,1.4,1.4,129,27.3,48.1,54.6,10,11,118,186,0.634,59,169,0.349,162,195,0.831,177,354,0.5,24.4,32,1.6,114,5.7,0.281,19,27,49.1,54.9,3,3,66,109,0.606,58,160,0.362,134,171,0.784,124,269,0.461,29.9,43,115,0.374,19,27,49.1,54.9,3,3,66,109,0.606,58,160,0.362,134,171,0.784,124,269,0.461,29.9,43,115,0.374,3.01,3.33,2.51,2.81,109.2,4.3
0.654152123,0.591659726,FALSE,18,76,1705,2.3,2.6,103,19.1,48.3,53,18,22,67,107,0.626,13,51,0.255,77,109,0.706,80,157,0.51,32,21,1.231671554,74,4.340175953,0.284,18,19.1,48.3,53,18,22,67,107,0.626,13,51,0.255,77,109,0.706,80,157,0.51,32,21,74,0.284,18,19.1,48.3,53,18,22,67,107,0.626,13,51,0.255,77,109,0.706,80,157,0.51,32,21,74,0.284,2.19,3.74,2.18,4.77,110.4,5.6
0.641942365,0.618656039,FALSE,19,78,1496,2.9,2.5,207,20,55.3,58.5,19,23,101,149,0.678,4,25,0.16,90,134,0.672,105,174,0.603,28.7,20,1.336898396,70,4.679144385,0.286,19,20,55.3,58.5,19,23,101,149,0.678,4,25,0.16,90,134,0.672,105,174,0.603,28.7,20,70,0.286,19,20,55.3,58.5,19,23,101,149,0.678,4,25,0.16,90,134,0.672,105,174,0.603,28.7,20,70,0.286,2.13,3.95,1.62,2.19,106.4,11.8
0.67670119,0.711896041,FALSE,18,79,1838,2.8,2.9,156,21.7,49.4,53.2,13,17,85,135,0.63,26,77,0.338,78,105,0.743,111,212,0.524,34.2,32,1.741022851,110,5.98476605,0.291,18,21.7,49.4,53.2,13,17,85,135,0.63,26,77,0.338,78,105,0.743,111,212,0.524,34.2,32,110,0.291,18,21.7,49.4,53.2,13,17,85,135,0.63,26,77,0.338,78,105,0.743,111,212,0.524,34.2,32,110,0.291,2.07,3.4,1.95,3.18,118.8,16.5
0.920828757,0.818731055,FALSE,19,80,998,3,3.1,20,25.8,43.1,47.3,10,11,26,49,0.531,27,75,0.36,39,49,0.796,53,124,0.427,38.9,23,2.304609218,79,7.915831663,0.291,19,25.8,43.1,47.3,10,11,26,49,0.531,27,75,0.36,39,49,0.796,53,124,0.427,38.9,23,79,0.291,19,25.8,43.1,47.3,10,11,26,49,0.531,27,75,0.36,39,49,0.796,53,124,0.427,38.9,23,79,0.291,0.04,2.58,-0.13,1.16,99.3,11.4
1.071146395,1.035968043,FALSE,18,77,1870,2.5,2,-25,28.8,47,51.7,27,27,89,129,0.69,37,122,0.303,127,165,0.77,126,251,0.502,48.6,69,3.689839572,237,12.67379679,0.291,18,28.8,47,51.7,27,27,89,129,0.69,37,122,0.303,127,165,0.77,126,251,0.502,48.6,69,237,0.291,18,28.8,47,51.7,27,27,89,129,0.69,37,122,0.303,127,165,0.77,126,251,0.502,48.6,69,237,0.291,2,2.82,1.53,2.54,104.7,7.8
0.692954039,0.732230871,FALSE,19,75,1797,2,2.6,240,22.1,47.4,53.1,7,10,71,109,0.651,46,129,0.357,100,120,0.833,117,238,0.492,32.2,33,1.83639399,113,6.288258208,0.292,19,22.1,47.4,53.1,7,10,71,109,0.651,46,129,0.357,100,120,0.833,117,238,0.492,32.2,33,113,0.292,19,22.1,47.4,53.1,7,10,71,109,0.651,46,129,0.357,100,120,0.833,117,238,0.492,32.2,33,113,0.292,2.2,3.64,1.66,2.53,110.9,20.8
0.76249918,0.738173003,FALSE,19,79,1618,2.9,2.4,243,30.9,47.1,51.8,21,25,98,160,0.613,35,116,0.302,142,217,0.654,133,276,0.482,27,30,1.854140915,102,6.30407911,0.294,19,30.9,47.1,51.8,21,25,98,160,0.613,35,116,0.302,142,217,0.654,133,276,0.482,27,30,102,0.294,19,30.9,47.1,51.8,21,25,98,160,0.613,35,116,0.302,142,217,0.654,133,276,0.482,27,30,102,0.294,1.86,4.97,1.14,2.68,108,13.5
0.510116457,0.732964282,FALSE,18,81,1321,4.2,3.3,291,20,53.1,54.6,15,20,51,68,0.75,25,62,0.403,53,90,0.589,76,130,0.585,38.4,24,1.81680545,81,6.131718395,0.296,18,20,53.1,54.6,15,20,51,68,0.75,25,62,0.403,53,90,0.589,76,130,0.585,38.4,24,81,0.296,18,20,53.1,54.6,15,20,51,68,0.75,25,62,0.403,53,90,0.589,76,130,0.585,38.4,24,81,0.296,2.93,5.11,2.61,4.14,118.1,31
